TSModelSummaryObject
ModelClass,ModelType,Support,SupportGEDYD,SupportPTIDYR,SupportBPAIPF,CountActiveOnline,CountActive,CountInactive
Aerodynamic Model,WTARA1,YES,Translate (WTGAR_A),YES,NO,0,0,0
Aerodynamic Model,WTGAR_A,YES,YES (WTGA_A),Translate (WTARA1),NO,0,0,0
AGC Controller,AGCBradley,YES,,,NO,0,0,0
AGC Controller,AGCPulseRate,YES,,,NO,0,0,0
AGC Controller,AGCSetpoint,YES,,,NO,0,0,0
Area AGC Model,AreaAGC,YES,,,NO,0,0,0
Bus Model,REPC_D,YES,YES,YES (HPLNTDU),NO,0,0,0
DC Aux Signal,CFCAUT,YES,,YES,NO,0,0,0
DC Aux Signal,CHAAUT,YES,,YES,NO,0,0,0
DC Aux Signal,FCWDPT,YES,,YES,NO,0,0,0
DC Aux Signal,PAUX12T,YES,,,NO,0,0,0
DC Aux Signal,PAUX1T,YES,,YES,NO,0,0,0
DC Aux Signal,PAUX2T,YES,,YES,NO,0,0,0
DC Aux Signal,SQBAUT,YES,,YES,NO,0,0,0
DC Line Model,BPA_D,YES,,,YES,0,0,0
DC Line Model,CDC1T,YES,,YES,NO,0,0,0
DC Line Model,CDC4T,YES,,YES,NO,0,0,0
DC Line Model,CDC6,YES,YES,,NO,0,0,0
DC Line Model,CDC6T,YES,,YES,NO,0,0,0
DC Line Model,CDCMC,YES,,,NO,0,0,0
DC Line Model,CEEL2T,YES,,YES,NO,0,0,0
DC Line Model,CHATGY,YES,,,NO,0,0,0
DC Line Model,CHIGATT,YES,,YES,NO,0,0,0
DC Line Model,CHVDC2,YES,YES,YES,NO,0,0,0
DC Line Model,CMDWS2T,YES,,YES,NO,0,0,0
DC Line Model,EPCDC,YES,YES,,NO,0,0,0
DC Line Model,RSPDC3,YES,,,NO,0,0,0
Exciter,AC10C,YES,YES (ESAC10C),,NO,0,0,0
Exciter,AC11C,YES,,YES,NO,0,0,0
Exciter,AC1C,YES,YES (ESAC1C),YES,NO,0,0,0
Exciter,AC2C,YES,YES (ESAC2C),YES,NO,0,0,0
Exciter,AC3C,YES,YES (ESAC3C),YES,NO,0,0,0
Exciter,AC4C,YES,YES (ESAC4C),YES,NO,0,0,0
Exciter,AC5C,YES,YES (ESAC5C),YES,NO,0,0,0
Exciter,AC6A,YES,YES (ESAC6A),YES (ESAC6A),NO,0,0,0
Exciter,AC6C,YES,YES (ESAC6C),YES,NO,0,0,0
Exciter,AC7B,YES,Translate (ESAC7B),YES,NO,0,0,0
Exciter,AC7C,YES,YES (ESAC7C),YES,NO,0,0,0
Exciter,AC8B,YES,,YES,NO,0,0,0
Exciter,AC8C,YES,YES (ESAC8C),YES,NO,0,0,0
Exciter,AC9C,YES,YES (ESAC9C),YES,NO,0,0,0
Exciter,BBSEX1,YES,Translate (EXBBC),YES,NO,0,0,0
Exciter,BPA_EA,YES,,,YES,0,0,0
Exciter,BPA_EB,YES,,,YES,0,0,0
Exciter,BPA_EC,YES,,,YES,0,0,0
Exciter,BPA_ED,YES,,,YES,0,0,0
Exciter,BPA_EE,YES,,,YES,0,0,0
Exciter,BPA_EF,YES,,,YES,0,0,0
Exciter,BPA_EG,YES,,,YES,0,0,0
Exciter,BPA_EJ,YES,,,YES,0,0,0
Exciter,BPA_EK,YES,,,YES,0,0,0
Exciter,BPA_FA,YES,,,YES,0,0,0
Exciter,BPA_FB,YES,,,YES,0,0,0
Exciter,BPA_FC,YES,,,YES,0,0,0
Exciter,BPA_FD,YES,,,YES,0,0,0
Exciter,BPA_FE,YES,,,YES,0,0,0
Exciter,BPA_FF,YES,,,YES,0,0,0
Exciter,BPA_FG,YES,,,YES,0,0,0
Exciter,BPA_FH,YES,,,YES,0,0,0
Exciter,BPA_FJ,YES,,,YES,0,0,0
